Local,Dirección,Departamento,Dirección corrregida,Latitud,Longitud,Estado
BELA 1,Av. 8 de Octubre,Montevideo ,"Montevideo, Uruguay",-34.876456,-56.142689,failed
BELA 2,Av. José Belloni ,Montevideo ,"Montevideo, Uruguay",-34.825487,-56.141112,failed
BELA 3,18 de julio ,Montevideo ,"18 de Julio, Uruguay",-34.906103,-56.194902,failed
Clinica Setiembre  (MP), Dr Prudencio de Pena ,Montevideo ,"Montevideo, Uruguay",-34.898082,-56.158916,failed
Consultorio fisioterapia Brandariz,Jose Ellauri ,Montevideo ,"José Ellauri, Uruguay",-34.908782,-56.150048,failed
Farmacia 2da. Font,Avenida 8 de Octubre ,Montevideo ,"Avenida 8 de Octubre, Uruguay",-34.858322,-56.133513,failed
Farmacia Centenario,Avenida General San Martin 2751,Montevideo ,"Avenida General San Martín, Uruguay",-34.875361,-56.185202,failed
Farmacia Luxor,Avenida Jose Belloni 4720,Montevideo ,"Avenida José Belloni, Uruguay",-34.817507,-56.138980,failed
Farmacia Patrial,Pasaje 1 Florencia y Ciceron 6206,Montevideo ,"Ciceron, Uruguay",-34.831704,-56.115681,failed
Farmacia Trouville,Solano Antuña,Montevideo ,"Montevideo, Uruguay",-34.918406,-56.153728,failed
Farmacia Trouville 2,21 de Setiembre y Luis de la Torre,Montevideo ,"Montevideo, Uruguay",-34.917596,-56.157297,failed
Farmacia Uriel,Avenida Pedro de Mendoza 5880,Montevideo ,"Avenida Don Pedro de Mendoza, Uruguay",-34.807267,-56.161601,failed
Farmashop N°2,Ruta 8 km. 30.500,Canelones,"Canelones, Uruguay",-34.726202,-55.964299,failed
Farmashop N°30,Avda. Rivera 609,Canelones,"Las Piedras, Uruguay",-34.727356,-56.215860,failed
Farmashop N°36,San Martín 3402,Montevideo ,"Avenida San Martín, Uruguay",-34.862788,-56.178783,failed
Farmashop N°45,Barra de Carrasco  ,Canelones,"Barra de Carrasco, Uruguay",-34.868585,-56.021163,failed
Farmashop N°49/OM,Strip center av. Las americas,Canelones,"Canelones, Uruguay",-34.869758,-56.031214,failed
Farmashop N°54,Solymar  Av. Giannattasio KM 22.800,Canelones,"Canelones, Uruguay",-34.829904,-55.972227,failed
Farmashop N°74,Lagomar Av. Giannattasio KM 21.800,Canelones,"Canelones, Uruguay",-34.834830,-55.980905,failed
Farmashop N°93,Doctor pouey 617,Canelones,"105 Dr. Enrique Pouey, Uruguay",-34.727404,-56.223671,failed
Ministerio de Turismo del Uruguay,Rambla 25 de Agosto 1825,Montevideo ,"Montevideo, Uruguay",-34.904290,-56.210145,failed
Uruguay Natural del Ministerio de Deporte,Rambla 25 de Agosto de 1825,Montevideo ,"Montevideo, Uruguay",-34.904290,-56.210145,failed
VETERINARIA AZUL,Bulevar Jose Batlle y Ordonez 4753,Montevideo ,"Bulevar José Batlle y Ordóñez, Uruguay",-34.848771,-56.185776,failed
VETERINARIA BUCEO,Avenida General Rivera 4170,Montevideo ,"Avenida General Rivera, Uruguay",-34.896307,-56.122503,failed
VETERINARIA DEL LITORAL,Bulevar Jose Batlle y ordonez 1903,Montevideo ,"Bulevar José Batlle y Ordóñez, Uruguay",-34.889002,-56.135075,failed
VETERINARIA EL ESTRIBO,Bulevar Jose Batlle y Ordonez 2251,Montevideo ,"Bulevar José Batlle y Ordóñez, Uruguay",-34.203545,-54.765306,failed
Municipio Dolores,Varela esq. Artigas,Soriano,"Avenida Artigas, Uruguay",-33.529677,-58.215398,failed
Muicipio Juan Lacaze,"Jose Salvo, Juan L. Lacaze, Departamento de Colonia",Colonia,"Juan L. Lacaze, Uruguay",-34.435058,-57.439122,failed
Club de Leones La Paz,Bianchi Altuna 340,Canelones,"340 H. Bianchi Altuna, Uruguay",-34.761207,-56.228694,success
CONSULTORIO ERIKA CASTROMAN,F. Garcia Cortinas 2446,Montevideo ,"2446 Francisco Garcia Cortinas, Uruguay",-34.924937,-56.158886,success
Farmacia Acuario,Avenida Jose Belloni 6374,Montevideo ,"6374 Avenida Jose Belloni, Uruguay",-34.782078,-56.135864,success
Farmacia Adropar,Comercio 2301,Montevideo ,"2301 Comercio, Uruguay",-34.879874,-56.138773,success
Farmacia Aleluya III,Camino Maldonado 4902,Montevideo ,"4902 Camino Maldonado, Uruguay",-34.855197,-56.131385,success
Farmacia Americana,Grecia 3627,Montevideo ,"3627 Grecia, Uruguay",-34.886125,-56.249003,success
Farmacia Amistad,Avenida Libertador 1607,Montevideo ,"1601,1607,1615,1623,1625 Avenida Libertador Brigadier General Lavalleja, Uruguay",-34.901153,-56.192346,success
Farmacia Andes,Andes 1193,Montevideo ,"1193 Andes, Uruguay",-34.909304,-56.197907,success
