Informacion,Latitud *,Longitud *,Departamento *,Localidad *,Dirección,Tipo_local *,Descripcion_tipo,Horario,Recoleccion
Máquina de smk receptora de envases retornables,-34.909806,-56.193792,Montevideo,Montevideo,Maldonado 1026,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.907694,-56.19385,Montevideo,Montevideo,San Jose 1042,Supermercado/Comercio,Macromercado,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.898897,-56.177692,Montevideo,Montevideo,Daniel Fernandez Crespo 1727,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.902794,-56.173142,Montevideo,Montevideo,Arenal Grande 1376,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.899203,-56.165253,Montevideo,Montevideo,Francisco Canaro 2265,Supermercado/Comercio,Macromercado,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.901967,-56.187131,Montevideo,Montevideo,Ejido 1530,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.913656,-56.148642,Montevideo,Montevideo,Juan Benito Blanco 966,Supermercado/Comercio,Tienda Inglesa,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.907711,-56.145867,Montevideo,Montevideo,26 De Marzo 1366,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.909419,-56.144725,Montevideo,Montevideo,Chucarro 1320,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.905292,-56.155208,Montevideo,Montevideo,Av Francisco Soca 1318,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.901069,-56.163597,Montevideo,Montevideo,Palmar 2335,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.894356,-56.144639,Montevideo,Montevideo,Ayacucho 3370,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.88935,-56.161269,Montevideo,Montevideo,Gral Urquiza 2728,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.916236,-56.155308,Montevideo,Montevideo,Jaime Zudañez 2633,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.919403,-56.152453,Montevideo,Montevideo,21 De Setiembre 2973,Supermercado/Comercio,Macromercado,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.924003,-56.159497,Montevideo,Montevideo,Shopping Punta Carretas 0,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.919436,-56.157542,Montevideo,Montevideo,Cnel Mora 953,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.892661,-56.180869,Montevideo,Montevideo,Arenal Grande 2006,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.875228,-56.197817,Montevideo,Montevideo,Avda Agraciada 2986,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.878125,-56.181053,Montevideo,Montevideo,Vilardebo 1771,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.856497,-56.17495,Montevideo,Montevideo,Avda Gral San Martin 3709,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.866469,-56.163542,Montevideo,Montevideo,Bvar Batlle Y Ordoñez 3770,Supermercado/Comercio,Tienda Inglesa,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.875997,-56.143928,Montevideo,Montevideo,Joanico 3624,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.903575,-56.137125,Montevideo,Montevideo,Shopping Montevideo 0,Supermercado/Comercio,Tienda Inglesa,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.857175,-56.133214,Montevideo,Montevideo,Avda 8 De Octubre 4790,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
