Nid,Nombre,Condiciones,Subprogramas,Tipo,Puntos
38744,Computadora,Equipos en buen estado y funcionando (Llamar a Antel Integra 08002824),2,,Si
38732,Perchas de madera. metal o plástico,,"14, 10, 12",,Si
38731,Papel afiche,Papel sin arrugar,"10, 12",,Si
38730,Ollas,,,,Si
38729,Lonas,,,,Si
38728,Guías telefónicas,Papel sin arrugar,"10, 12",,Si
38727,Guantes de goma,,,,Si
38726,Cubiertos descartables,,"14, 10, 12",3,Si
38725,Cables,,"10, 12",,Si
38733,Telas y textiles limpios,,,,Si
38734,Trapos de cocina,,,,Si
38735,Trapos de piso,,,,Si
38743,Cámara de bicicleta,,,,Si
38742,Aire acondicionado,Retiro gratuito de la Intendencia de Montevideo 1950 3000 int. 3. En el Interior comunicate con la Intendencia,,,No
38741,Celulares,,,,No
38740,Cargadores,,2,,Si
38739,Baterías de cámaras,,13,,Si
38738,Baterías de auto,Entrega en casas de ventas de baterías,,,Si
38737,Aceite de cocina usado,"Sólo con recipientes especiales del programa. Para solicitarlos, consultar en http://www.alur.com.uy/la-energia-se-transforma/",3,,Si
38736,Tuppers,Enjuagar,"14, 10, 12",,Si
38724,Bolsas de burbujas,,"14, 10, 12",3,Si
38723,Bolsas de alimento de mascota,,"14, 10, 12",3,Si
38722,Tarro de pintura (plástico),Escurrida y seca,"10, 12",3,Si
38710,Jeringas,,4,3,Si
38709,Envases con comida,Limpiar,"14, 10, 12",3,Si
38708,Electrodomésticos grandes,Retiro gratuito de la Intendencia de Montevideo 1950 3000 int. 3. En el Interior comunicate con la Intendencia,,3,No
38707,Envoltorios (ej. galletitas),,"14, 10, 12",3,Si
38706,Caños plástico,,"14, 10, 12",3,Si
38705,Botellas de productos,Todos los envases que contengan líquido deben ir escurridos. secos y compactados,"14, 10, 12",3,Si
38704,Botellas de bebida (PET),Todos los envases que contengan líquido deben ir escurridos. secos y compactados,"14, 10, 12",3,Si
38703,Bidones,Todos los envases que contengan líquido deben ir escurridos. secos y compactados,"14, 10, 12",3,Si
38711,Botellas de alcoholes,Todos los envases que contengan líquido deben ir escurridos. secos y compactados,"14, 10, 12",4,Si
38712,Botellas no retornables,Todos los envases que contengan líquido deben ir escurridos. secos y compactados,,4,Si
38713,Frascos de café,,"14, 12",4,Si
38721,Lata de pintura,Escurrida y seca,"10, 12",1,Si
38720,Hierro,En trozos pequeños,"10, 12",1,Si
38719,Cobre,En trozos pequeños,"10, 12",1,Si
38718,Chapas,En trozos pequeños,"10, 12",1,Si
38717,Tubos de TV,Retiro gratuito de la Intendencia de Montevideo 1950 3000 int. 3. En el Interior comunicate con la Intendencia,,4,No
38716,Frascos de remedios sucios,,4,4,Si
38715,Frascos de productos,Enjuagar,"14, 12",4,Si
38714,Frascos de dulce,Enjuagar,"14, 12",4,Si
38702,Bandejas,Limpiar,"14, 12, 10",3,Si
38745,Aerosoles,Completamente vacíos,"14, 10, 12",,Si
38788,UPS,Llamar a Antel Integra 08002824,,,No
38776,CPU,Llamar a Antel Integra 08002824,2,,Si
38775,Multimaterial,Todos los residos que se pueden valorizar,"14, 10, 12",,Si
38774,Reciclables,Todos los residos que se pueden valorizar,"14, 10, 12, 3, 4",,Si
38773,Cocina ,Retiro gratuito de la Intendencia de Montevideo 1950 3000 int. 3. En el Interior comunicate con la Intendencia,,,No
38772,Calefón,Retiro gratuito de la Intendencia de Montevideo 1950 3000 int. 3. En el Interior comunicate con la Intendencia,,,No
38771,Viruta,"podés compostarlos en casa, sino, disponer con residuos mezclados",11,,No
38770,Semillas,"podés compostarlos en casa, sino, disponer con residuos mezclados",11,,No
38769,Restos de comida (sin carne),"podés compostarlos en casa, sino, disponer con residuos mezclados",11,,No
38777,Computadoras,Llamar a Antel Integra 08002824,2,,Si
38778,Notebook,Llamar a Antel Integra 08002824,2,,Si
38779,Ratón de computadora,Llamar a Antel Integra 08002824,2,,Si
38787,Scanner,Llamar a Antel Integra 08002824,,,No
38786,Monitor CRT de computadora,Llamar a Antel Integra 08002824,,,No
38785,Impresoras,Llamar a Antel Integra 08002824,,,No
38784,Bateráis de celulares,Llamar a Antel Integra 08002824,,,No
38783,Celulares,Llamar a Antel Integra 08002824,,,No
38782,Perifércios de computadora,Llamar a Antel Integra 08002824,2,,Si
38781,Partes de computadora,Llamar a Antel Integra 08002824,2,,Si
38780,Parlantes de computadora,Llamar a Antel Integra 08002824,2,,Si
38768,Hojas secas,"podés compostarlos en casa, sino, disponer con residuos mezclados",11,,No
38767,Cáscaras de huevo,"podés compostarlos en casa, sino, disponer con residuos mezclados",11,,No
38766,Cáscara de verduras,"podés compostarlos en casa, sino, disponer con residuos mezclados",11,,No
38754,Neumáticos,,,,Si
38753,Muebles rotos,Retiro gratuito de la Intendencia de Montevideo 1950 3000 int. 3. En el Interior comunicate con la Intendencia,,,No
38752,Lavarropas,Retiro gratuito de la Intendencia de Montevideo 1950 3000 int. 3. En el Interior comunicate con la Intendencia,,,No
38751,Impresoras,Retiro gratuito de la Intendencia de Montevideo 1950 3000 int. 3. En el Interior comunicate con la Intendencia,,,No
38750,Heladeras,Retiro gratuito de la Intendencia de Montevideo 1950 3000 int. 3. En el Interior comunicate con la Intendencia,,,No
38749,Griferías,Retiro gratuito de la Intendencia de Montevideo 1950 3000 int. 3. En el Interior comunicate con la Intendencia,,,No
38748,Escombros,Retiro gratuito de la Intendencia de Montevideo 1950 3000 int. 3. En el Interior comunicate con la Intendencia,,,No
38747,Aerosol,Completamente vacíos,"14, 10, 12",,Si
38755,Pallets,Retiro gratuito de la Intendencia de Montevideo 1950 3000 int. 3. En el Interior comunicate con la Intendencia,,,No
38756,Partes de electrodomésticos,Retiro gratuito de la Intendencia de Montevideo 1950 3000 int. 3. En el Interior comunicate con la Intendencia,,,No
38757,Partes de autos,Retiro gratuito de la Intendencia de Montevideo 1950 3000 int. 3. En el Interior comunicate con la Intendencia,,,No
38765,Cáscaras de frutas,"podés compostarlos en casa, sino, disponer con residuos mezclados",11,,No
38764,Carozos,"podés compostarlos en casa, sino, disponer con residuos mezclados",11,,No
38763,Café,"podés compostarlos en casa, sino, disponer con residuos mezclados",11,,No
38762,Bolsitas de té,"podés compostarlos en casa, sino, disponer con residuos mezclados",11,,No
38761,Asserrín,"podés compostarlos en casa, sino, disponer con residuos mezclados",11,,No
38760,Sillas y sillones rotos,Retiro gratuito de la Intendencia de Montevideo 1950 3000 int. 3. En el Interior comunicate con la Intendencia,,,No
38759,Ramas,Retiro gratuito de la Intendencia de Montevideo 1950 3000 int. 3. En el Interior comunicate con la Intendencia,,,No
38758,Restos de poda o jardín,Retiro gratuito de la Intendencia de Montevideo 1950 3000 int. 3. En el Interior comunicate con la Intendencia,,,No
38746,Aerosoles de insecticida,Completamente vacíos,"14, 10, 12",,Si
38657,Papel de aluminio,Compactar,"10, 12",,Si
38645,Corcho,,"14, 10, 12",,Si
38644,Tapa de aluminio (lámina),Enjuagar,"14, 10, 12",,Si
38643,Tapitas,,"14, 10, 11",,Si
38642,Tapita ,,"14, 10, 12",,Si
38641,Tapa plástica,,"14, 10, 12",,Si
38640,Botella de limpiador,Todos los envases que contengan líquido deben ir escurridos. secos y compactados,"14, 10, 12",,Si
38639,Film de cocina,Compactar,"14, 10, 12",,Si
38638,Tarro de dulce de leche,Enjuagar,"14, 10, 12",,Si
38646,Bolsa de nylon (bolsas plásticas),Limpias,"14, 10, 12",,Si
38647,Chapita,,"14, 10, 12",,Si
38648,Bolsa de pan,Compactar,"14, 10, 12",,Si
38656,Latas de conservas,Todos los envases que contenían líquido deben ir escurridos y secos.,"14, 10, 12",,Si
38655,Juguete roto,,"14, 10, 12",,Si
38654,Llaves,,"14, 10, 12",,Si
38653,Envase de aluminio,Todos los envases que contenían líquido deben ir escurridos y secos.,"14, 10, 12",,Si
38652,Envase de shampoo,Todos los envases que contengan líquido deben ir escurridos. secos y compactados,"14, 10, 12",,Si
38651,Frasco de plástico,Todos los envases que contenían líquido deben ir escurridos y secos.,"14, 10, 12",,Si
38650,Frasco de vidrio,Todos los envases que contenían líquido deben ir escurridos y secos.,"14, 12",,Si
38649,Papel de pan,Doblar,"10, 12",,Si
38637,Vaso de queso,Enjuagar,"14, 12",,Si
38636,Vaso de yogur,Enjuagar,"14, 10, 12",,Si
38635,Bidón de agua,Todos los envases que contengan líquido deben ir escurridos. secos y compactados,"14, 10, 12",,Si
38623,Bidón de aceite,Todos los envases que contengan líquido deben ir escurridos. secos y compactados,"14, 10, 12",,Si
38622,Envoltorio del bombón,,"14, 10, 12",,Si
38621,Vasito de plástico,Compactar ,"14, 10, 12",,Si
38620,Botella del detergente,Todos los envases que contengan líquido deben ir escurridos. secos y compactados,"14, 10, 12",,Si
38619,Pomo de la pasta de dientes,,"14, 10, 12",,Si
38618,Caja del yogur,Todos los envases que contengan líquido deben ir escurridos. secos y compactados,"14, 10, 12",,Si
38617,Botella de jugo,Todos los envases que contengan líquido deben ir escurridos. secos y compactados,"14, 10, 12",,Si
38616,Sachet de la leche,Todos los envases que contenían líquido deben ir escurridos y secos.,"14, 10, 12",,Si
38624,Caja de la tele,Desarmar y compactar ,"14, 10, 12",,Si
38625,Botella de vidrio ,Todos los envases que contenían líquido deben ir escurridos y secos.,"14, 12",,Si
38626,Botella de plastico ,Todos los envases que contengan líquido deben ir escurridos. secos y compactados,"14, 10, 12",,SI
38634,Envases de refrescos,Todos los envases que contengan líquido deben ir escurridos. secos y compactados,"14, 10, 12",,Si
38633,Lata de cerveza,Compactar ,"14, 10, 12",,Si
38632,Caja de los championes,Desarmar y compactar ,"14, 10, 12",,Si
38631,Tetrapack,Todos los envases que contengan líquido deben ir escurridos. secos y compactados,"14, 10, 12",,Si
38630,Bolsa de azúcar de papel ,Compactar ,"10, 12",,Si
38629,Paquete de arroz,,"14, 10, 12",,Si
38628,Paquete de azúcar,,"14, 10, 12",,Si
38627,Paquete de fideos,,"14, 10, 12",,Si
38615,Lata de atún,Todos los envases que contenían líquido deben ir escurridos y secos.,"14, 10, 12",,Si
38658,Hojas de papel,Papel sin arrugar,"10, 12",,Si
38701,Papel plastificado,Papel sin arrugar,"10, 12",2,Si
38689,Envases de medicamentos,,4,,Si
38688,Monitor de computadora,Llamar a Antel Integra 08002824,2,,Si
38687,Teclado de computadora,Llamar a Antel Integra 08002824,2,,Si
38686,Teléfono celular,Llamar a Antel Integra 08002824,2,,Si
38685,Yerba,"podés compostarlos en casa, sino, disponer con residuos mezclados",,,No
38684,Cáscaras de frutas y verduras,"podés compostarlos en casa, sino, disponer con residuos mezclados",,,No
38683,Baterías de celular,Llamar a Antel Integra 08002824,2,,Si
38682,Pilas botón,,13,,Si
38690,Termo roto de acero inoxidable,,"14, 10, 12",,Si
38691,Cartulinas,Sin arrugar,"10, 12",2,Si
38692,Cajas tetrabrick (vino. jugo),Desarmar y compactar,"10, 12",2,Si
38700,Papel parafinado,Papel sin arrugar,"10, 12",2,Si
38699,Papel metalizado,,"10, 12",2,Si
38698,Sobres,Papel sin arrugar,"10, 12",2,Si
38697,Revistas,Papel sin arrugar,"10, 12",2,Si
38696,2 triturados o rotos,,"10, 12",2,Si
38695,Hojas de impresora,Papel sin arrugar,"10, 12",2,Si
38694,Hojas de cuaderno,Papel sin arrugar,"10, 12",2,Si
38693,Fotocopias,Papel sin arrugar,"10, 12",2,Si
38681,Lámpara de bajo consumo,Sanas y sin ningún embalaje. En los locales de RedPagos de todo el país.,,,Si
38680,Medicamentos y envases,,4,,Si
38679,Servilletas de papel usadas,"podés compostarlos en casa, sino, disponer con residuos mezclados",,,No
38667,Paquete de yerba,Compactar,"14, 10, 12",,Si
38666,Boleto,,"14, 10, 12",,Si
38665,Envoltorio de galletitas,Compactar,"14, 10, 12",,Si
38664,Diarios,Papel sin arrugar,"10, 12",,Si
38663,Rollos de cartón ,Compactar,"10, 12",,Si
38662,Huevera,Mantener limpio y seco,"14, 10, 12",,Si
38661,Caja de huevos,Desarmar y compactar,"14, 10, 12",,Si
38660,Caja de cartón corrugado,Compactar,"10, 12",,Si
38668,Bolsa de leche larga vida,Todos los envases que contengan líquido deben ir escurridos. secos y compactados,"14, 10, 12",,Si
38669,Envoltorio de manteca,Compactar,"14, 10, 12",,Si
38670,Nylon separador (film plástico),Limpio,"14, 10, 12",,Si
38678,Pilas alcalinas,Recomendamos el uso de pilas recargables,13,,Si
38677,Caja de electrodomésticos ,Desarmar y compactar,"14, 10, 12",,Si
38676,Caja de pasta de dientes,Desarmar y compactar,"14, 10, 12",,Si
38675,Caja de pizza,Recortar la parte engrasada o sucia. el resto incorporar a los reciclables,"14, 10, 12",,Si
38674,Ticket de compra,Papel sin arrugar,"10, 12",,Si
38673,Botella de aceite,Todos los envases que contengan líquido deben ir escurridos. secos y compactados,"14, 10, 12",,Si
38672,Botella rota,Todos los envases que contenían líquido deben ir escurridos y secos.,"14, 12",,Si
38671,Desodorante en aerosol,Vaciar,"14, 10, 12",,Si
38659,Caja de cartón,Desarmar y compactar,"10, 12",,Si
