Nid,Nombre,Administradores,desc,Contacto,ID,No recibe,Programa,Recibe,Web
33822,Programa Uruguay Clasifica,"7, 1",,,3,"Chatarra, Espuma plástica, Pilas, Residuos médicos (jeringas/gasas/medicamentos/etc.), Residuos orgánicos, Tergopol",6,"Bidones, Botellas de vidrio enteras, Botellas PET (de agua y refrescos), Cartón, Envoltorios de snacks, Latas, Nylon, Papel, Pomo (botellas plásticas opacas), Tapitas, Tetrapack (limpios)",
33821,Antel Integra,"7, 1",,,7,"Baterías, Celulares, Escanner, Impresoras, Monitores CRT, UPS",2,"CPU, Monitores LCD o LED, Partes (discos duros/tarjetas de video/tarjetas de sonido), Periféricos (ratones/teclados/parlantes), Torres o notebook P4 (similar) o superior",
33819,La Energía se Transforma,"7, 1",,,5,,3,Aceite comestible usado,
33817,Ecofarma,"7, 1",,,6,,4,"Envases de medicamentos, Mediamentos vencidos",
33815,CA5 Maritas,"7, 1",,,3,,6,Materiales reciclables,
33814,CA4 Crelap,"7, 1",,,3,,6,Materiales reciclables,
33813,CA3 Pando,"7, 1",,,3,,6,Materiales reciclables,
33812,CA2 Ave Fénix,"7, 1",,,3,,6,Materiales reciclables,
33811,CA1 Ave Fénix,"7, 1",,,3,,6,Materiales reciclables,
33810,Municipio B,"7, 6, 1",,,2,Botellas de vidrio,6,Materiales reciclables,
33809,Mi Barrio Clasifica,"7, 1",,,4,,6,Materiales reciclables,
33807,Centros de venta,"7, 1",,,3,,6,Materiales reciclables,
33806,JCDecaux (pilas),"7, 6, 1",,,9,,6,"Baterías de uso doméstico, Pilas",
33805,JCDecaux,"7, 6, 1",,,1,"Cartón, Papel",6,"Botellas de vidrio, Botellas plásticas, Latas",
