Information,Latitude,Longitude,State,location,address,site_type,Site,Ctype
Recepción todos los días. Coordinar horario para ir al 094187660,-34.83158,-56.21363,Montevideo,Sayago,Luis Giralt 1139 esq. Bvar. Batlle y Ordóñez. ,N/D,Depósito Central Sayago,Depósito
Recepción todos los días. Coordinar horario para ir al 095014974,-34.87341,-56.14615,Montevideo,Unión,Coruña 2767 entre Avellaneda y Purificación,N/D,Depósito Unión,Depósito
De 12 a 18 de lunes a viernes y sabados de 11 a 15,-34.88781,-56.18309,Montevideo,Aguada,Martin García 1652(diagonal al mam),Local comercial,MARÍ MADÁ,Contenedor plástico
Lunes a Viernes de 12:00 a 16:00hs,-34.8932, -56.18105,Montevideo,Aguada,Arenal grande 1987 esq. Lima,Local comercial,Piponeando,Contenedor plástico
Martes a sábado de 14 a 19 hs. Contacto: 094232674,-34.91391,-56.18591,Montevideo,Barrio Sur,Ejido 890 casi Cebollati,Local comercial,CreARTE,Contenedor plástico
Recepción todos los días. Coordinar horario para ir al 097219154,-34.86293,-56.18086,Montevideo,Brazo Oriental,Carabela 3356 esq. Luis A. de Herrera,Domicilio particular,Silvia Jarosz,Contenedor plástico
Coordinar entrega al 25088170 - 25064724,-34.88725,-34.88725,Montevideo,Buceo,Francisco Solano López 1892 esq. Av. Italia,Local comercial,Ventas Albion,Contenedor plástico
Abierto las 24hs.,-34.87794,-34.87794,Montevideo,Carrasco,Av. Italia esq. Murillo,Local comercial,Estación ANCAP,Contenedor plástico
Lunes a sábado de 10 a 19 hs. ,-34.88115,-56.07754,Montevideo,Carrasco,Av. Italia 6114 esq. Bolonia,Local comercial,Centro Estético Eliana Fagals,Contenedor plástico
Coordinar horario para ir al 29011502,-34.90445,-56.19684,Montevideo,Centro,Mercedes 922 entre Río Branco y Concepción,Local comercial,Da Naturaleza,Contenedor plástico
"Lunes a viernes de 9 a 19 hrs, Sábados de 10 a 14 hrs.",-34.90637,-56.19728,Montevideo,Centro,18 de Julio 890 esq. Convención,Local comercial,La Molienda,Contenedor plástico
Lunes a viernes de 9 a 18 hs,-34.90674,-56.18935,Montevideo,Centro,San José 1236 entre Michelini y Carlos Quijano,Local comercial,La Granola - Tienda Natural,Contenedor plástico
De lunes a viernes de 9.30 a 18.30 hs y sábados de 10 a 14hs,-34.87345,-56.24755,Montevideo,Cerro,Avda. Carlos María Ramirez 1528 bis esquina Vigo.,Local comercial,Animal Shop Cerro,Contenedor plástico
Coordinar hora para ir al 092889696.,-34.86857,-56.26846,Montevideo,Cerro Norte,Camino Buffa 2413 A Block 2,Domicilio particular,Carolina Pérez,Contenedor plástico
Lunes a domingo 7:30 a 9:30PM,-34.80048,-56.2287,Montevideo,Colón,Yegros 2062 esq. Andrés,Local comercial,Red Market Parada 2,Contenedor plástico
"Lunes a viernes de 9 a 19 hrs. Sábados de 10 a 14 hrs. 
Lunes a viernes de 9 a 19 hrs
Sábados de 10 a 14 hrs. 
Lunes a viernes de 9 a 19 hrs
Sábados de 10 a 14 hr",-34.90414,-56.18709,Montevideo,Cordón,Ejido 1439 esq. Mercedes,Local comercial,La Molienda,Contenedor plástico
"Lunes a viernes de 10 a 19 hs, Domingos de 10 a 15 hs",-34.89916,-56.17922,Montevideo,Cordón,Tristán Narvaja 1702 esq. Paysandú,Local comercial,Emexem,Contenedor plástico
"Lunes a viernes, 7.30 a 12 y 13.30 a 17.30",-34.84007,-56.1226,Montevideo,Flor de Maroñas,"Camino Maldonado 5795 esq. Rafael, entrar por Rafael",Local comercial,Barraca Rafael,Contenedor plástico
"Lunes a Viernes de 9 a 19:30, Sábados de 9 a 14 hs. ",-34.84954,-56.14771,Montevideo,Ituzaingó,Dámaso Antonio Larrañaga 4548 esq. Piccioli,Local comercial,Farmacia Industria 2,Contenedor plástico
Contactarse al 22004185  o al 098511375 para coordinar la entrega.,-34.87406,-56.17109,Montevideo,Jacinto Vera,Lafinur esq. Cufré,Domicilio particular,Florencia Zamdwajs,Contenedor plástico
Lunes a Viernes de 8 a 12:30 - 13:30 a 18 hs.,-34.88042,-56.15184,Montevideo,La Blanqueada,Joanicó 3256 esq. Dámaso Antonio Larrañaga,Local comercial,Robotec,Contenedor plástico
"Lunes a viernes de 10 a 18 hs, sábados de 10 a 14 hs.",-34.87727,-56.15688,Montevideo,La Blanqueada,Av. Luis Alberto de Herrera 2835,Local comercial,GPS Don Andrés,Contenedor plástico
"Lunes a Viernes de 10 a 19 hs, Sábados de 10 a 14 hs. ",-34.88537,-56.16502,Montevideo,La Blanqueada,Av. Garibaldi 2485 local 2 esq. Emilio Raña,Local comercial,Animal Shop,Contenedor plástico
 Lunes a Viernes de 18:00 a 20:30,-34.89202,-56.09033,Montevideo,Malvín,"Fausto 1474, esquina Caramurú",Local comercial,ATA Artes Marciales Malvín,Contenedor plástico
Lunes a viernes de 10:30 a 19 hs. Sábados de 10 a 13 hs,-34.87208,-56.11558,Montevideo,Malvín Norte,"Camino Carrasco 4680 esq. Veracierto, local 31",Local comercial,Óptica Salerno,Contenedor plástico
Contactarse al 094898094 para coordinar horario y dirección exacta.,-34.78143,-56.13655,Montevideo,Puntas del Manga,Instrucciones esq. José Belloni,Domicilio particular,Lourdes Alfonzo,Contenedor plástico
Lunes a Sábados de 8 a 20 hs. ,-34.87057,-56.15947,Montevideo,Mercado Modelo,Bvar. Batlle y Ordóñez 3095 esq. Juan Arrieta,Local comercial,Farmacia Jardín,Contenedor plástico
Coordinar horario al 098916205,-34.86972,-56.33726,Montevideo,Pajas Blancas,Leal de Ibarra esq. Ramón Fernandez Villegas,Domicilio particular,Alex Gabriel,Contenedor plástico
Lunes a viernes de 12 a 19 hs coordinando al WhatsApp 094112227 (Carolina),-34.89309,-56.15041,Montevideo,Parque Batlle,Dr. Alfredo Navarro 3051 frente al Estadio Centenario,Centro Educativo,Instituto de Higiene,Contenedor plástico
"Lunes a Viernes de 9:00 a 20:00 hs, Sábados de 9:00 a 14:00 hs",-34.91173,-56.17239,Montevideo,Parque Rodó,Gonzalo Ramírez 2013 esq. Juan D. Jackson,Local comercial,Veterinaria Pocas Pulgas,Contenedor plástico
Contactarse al 094892861 para coordinar horario de entrega.,-34.86044,-56.21507,Montevideo,Paso Molino,Agraciada debajo del viaducto. Puesto 27,Local comercial,Feria Permanente San Miguel,Contenedor plástico
L a V de 8 a 18 hs. Domingos de 8:30 a 13:30.,-34.82795,-56.20164,Montevideo,Peñarol,Schiller y Coronel Raíz. L a V de 8 a 18 hs.,Local comercial,Leñería Peñarol,Contenedor plástico
"Lunes a Viernes de 8:30 a 20 hs, Sábados 8:30 a 18 hs y Domingos de 10 a 13 hs. ",-34.85625,-56.15658,Montevideo,Perez Castellanos,José Serrato 3549 esq. Corumbe,Local comercial,Farmacia industria 1,Contenedor plástico
 Lunes a viernes de 10 a 18. Sábados de 11:00 a 16:00. Domingo 11:00 a 14:00,-34.82946,-56.14198,Montevideo,Piedras Blancas,General Flores 5479,Local comercial,Central Pets,Contenedor plástico
Abierto las 24 hs los 365 días del año,-34.9147,-56.155,Montevideo,Pocitos,Francisco Aguilar 863 entre Scoseria y Sarmiento,Local comercial,Parking Aguilar,Contenedor plástico
"Lunes a viernes de 10:30 a 20 hs, sábados de 10:30 a 15 hs.",-34.91345,-56.14999,Montevideo,Pocitos,Av. Brasil 3072 local 6 y 7 Galería Micenas Mall esq. Lazaro Gadea,Local comercial,Animal Shop,Contenedor plástico
" Lunes a Viernes de 13.30 a 18.30hs,  sábados de 13 a 16hs.",-34.91239, -56.15341,Montevideo,Pocitos,Ellauri 986,Local comercial,Mari Madá Pocitos,Contenedor plástico
"Abierto de 9 a 19hs, lunes a viernes",-34.84585,-56.20236,Montevideo,Prado,Millán 4306. esq. Av. de las Instrucciones,Local comercial,La Bodeguita Verde,Contenedor plástico
"Martes a viernes de 7 a 19 hs, sábados y domingos de 7 a 14 hs",-34.84983,-56.19819,Montevideo,Prado,Av. Millán 4144 bis,Local comercial,Fábrica de Pastas Jorgito,Contenedor plástico
Lunes a viernes de 8 a 17hs,-34.8964,-56.17515,Montevideo,Tres Cruces,Daniel Muñoz 1989,Local comercial,Track LTDA,Contenedor plástico
"Lunes a viernes de 9 a 19 hs, sábados de 10 a 14 hs. ",-34.87045,-56.13488,Montevideo,Unión,8 de Octubre 4100 esq. Pascual Paladino,Local comercial,Animal Shop,Contenedor plástico
Teléfono para coordinar: 47723510.,-30.39984,-56.46593,Artigas,Artigas,Misiones 301 esquina Bernabé Rivera,Domicilio particular,Elaine ,Contenedor plástico
"Horario: lunes a viernes de 9 a 18 hs, sábados de 9 a 13 hs.",-34.72815,-56.2124,Canelones,Las Piedras,José Pedro Varela 643,Local comercial,Codeleste,Contenedor plástico
Coordinar al 099140870,-34.44772,-56.39217,Canelones,Santa Lucia,Juan Pecoche 159 entre Ramón Irigoyen y Felipe La Cueva.,Domicilio particular,Leandra ,Contenedor plástico
L a V de 8:30 a 12:00 y 14:00 a 18:30. Sábados 8:00 A 12:30.,-33.99547,-58.28437,Colonia,Carmelo,Uruguay 501 esq. General Flores,Local comercial,J. Marcelino Igoa ,Contenedor plástico
"Lunes a viernes de 10 a 18 hs, sábados de 10 a 14 hs.",-34.47058,-57.8472,Colonia,Colonia del Sacramento,Av. Gral. Flores esq. Intendente Suarez,Local comercial,Kiosko del Correcaminos,Contenedor plástico
L. a V. 8 a 12 y de 14.30 a 19 hs. - 4552 4735,-34.32108,-57.35046,Colonia,Rosario,Bvar Rodó 002 (frente a rotonda del Ombú),Local comercial,Ferreteria La Tuerca,Contenedor plástico
Lunes a viernes de 8:00 a 12:00 y de 14:30 a 18:30. Sábados de 8:00 a 12:00,-32.36947,-54.17061,Cerro Largo,Melo,Luis Alberto de Herrera 614 esq. Agustín de la Rosa.,Local comercial,Veterinaria Julio Ramirez,Contenedor plástico
Lunes a viernes de 9 a 18 hs. Sábados de 9 a 13 hs,-34.90406,-54.95767,Maldonado,Maldonado,Sarandí 1076 entre José Pedro Varela y Román Bergalli,Local comercial,ATE Service,Contenedor plástico
Lunes a sábado de 10 a 19 hs. 091505061.,-34.90983,-54.865,Maldonado,La Barra,Ruta 10 entre Julio Sosa y Pedro Campbell,Local comercial,Tienda para Mascotas La Barra,Contenedor plástico
